Date,Close
2022-07-13,118.65
2022-07-14,115.88
2022-07-15,118.83
2022-07-18,115.11
2022-07-19,119.06
2022-07-20,119.86
2022-07-21,127.19
2022-07-22,125.04
2022-07-25,124.26
2022-07-26,125.17
2022-07-27,127.71
2022-07-28,131.11
2022-07-29,134.1
2022-08-01,133.43
2022-08-02,131.28
2022-08-03,134.56
2022-08-04,133.77
2022-08-05,133.61
2022-08-08,132.52
2022-08-09,128.88
2022-08-10,132.58
2022-08-11,131.95
2022-08-12,133.55
2022-08-15,133.9
2022-08-16,132.77
2022-08-17,142.29
2022-08-18,139.97
2022-08-19,137.62
2022-08-22,133.94
2022-08-23,132.64
2022-08-24,133.67
2022-08-25,136.01
2022-08-26,129.87
2022-08-29,128.11
2022-08-30,128.28
2022-08-31,128.25
2022-09-01,128.93
2022-09-02,128.01
2022-09-06,129.3
2022-09-07,131.43
2022-09-08,135.19
2022-09-09,137.63
2022-09-12,139.87
2022-09-13,133.54
2022-09-14,133.25
2022-09-15,133.16
2022-09-16,129.89
2022-09-19,130.72
2022-09-20,128.14
2022-09-21,126.48
2022-09-22,124.39
2022-09-23,123.48
2022-09-26,122.31
2022-09-27,121.61
2022-09-28,123.72
2022-09-29,122.74
2022-09-30,121.55
2022-10-03,126.38
2022-10-04,131.41
2022-10-05,132.64
2022-10-06,132.18
2022-10-07,127.44
2022-10-10,125.95
2022-10-11,125.64
2022-10-12,125.69
2022-10-13,127.9
2022-10-14,125.7
2022-10-17,130.56
2022-10-18,132.3
2022-10-19,128.96
2022-10-20,125.94
2022-10-21,129.88
2022-10-24,132.3
2022-10-25,134.5
2022-10-26,137.69
2022-10-27,136.49
2022-10-28,138.77
2022-10-31,138.35
2022-11-01,140.89
2022-11-02,135.27
2022-11-03,134.46
2022-11-04,136.08
2022-11-07,138.03
2022-11-08,138.75
2022-11-09,137
2022-11-10,146.3
2022-11-11,148.31
2022-11-14,146.38
2022-11-15,148
2022-11-16,147.12
2022-11-17,144.44
2022-11-18,146.19
2022-11-21,145.14
2022-11-22,156.86
2022-11-23,155.35
2022-11-25,156.96
2022-11-28,152.3
2022-11-29,150.94
2022-11-30,154.98
2022-12-01,156.12
2022-12-02,155.67
2022-12-05,152.7
2022-12-06,151.35
2022-12-07,153.73
2022-12-08,156.28
2022-12-09,152.95
2022-12-12,155.33
2022-12-13,157.66
2022-12-14,154.81
2022-12-15,150.86
2022-12-16,149.3
2022-12-19,146.95
2022-12-20,147.93
2022-12-21,150.09
2022-12-22,149.01
2022-12-23,149.23
2022-12-27,149.55
2022-12-28,148.09
2022-12-29,151.09
2022-12-30,149.65
2023-01-03,150.04
2023-01-04,151.67
2023-01-05,152.11
2023-01-06,147.67
2023-01-09,147.47
2023-01-10,155.23
2023-01-11,158.17
2023-01-12,156.49
2023-01-13,156.92
2023-01-17,155.4
2023-01-18,154.07
2023-01-19,152.87
2023-01-20,155.92
2023-01-23,159.06
2023-01-24,155.69
2023-01-25,155.76
2023-01-26,156.23
2023-01-27,155.69
2023-01-30,151.74
2023-01-31,152.08
2023-02-01,155.45
2023-02-02,155.5
2023-02-03,154.55
2023-02-06,152.24
2023-02-07,154.51
2023-02-08,154.42
2023-02-09,152.38
2023-02-10,152.55
2023-02-13,154.6
2023-02-14,153.04
2023-02-15,151.75
2023-02-16,148.28
2023-02-17,148.26
2023-02-21,143.42
2023-02-22,142.08
2023-02-23,143.2
2023-02-24,141.2
2023-02-27,142.18
2023-02-28,141.97
2023-03-01,137.51
2023-03-02,141.67
2023-03-03,143.93
2023-03-06,143.23
2023-03-07,140.33
2023-03-08,140.9
2023-03-09,138.93
2023-03-10,135.72
2023-03-13,136.69
2023-03-14,138.4
2023-03-15,134.03
2023-03-16,136.82
2023-03-17,133.18
2023-03-20,134.54
2023-03-21,137.01
2023-03-22,133.73
2023-03-23,131.13
2023-03-24,131.96
2023-03-27,133.07
2023-03-28,132.63
2023-03-29,133.85
2023-03-30,134.49
2023-03-31,138.34
2023-04-03,137.86
2023-04-04,138.21
2023-04-05,138.09
2023-04-06,138.03
2023-04-10,138.02
2023-04-11,138.52
2023-04-12,138.36
2023-04-13,141.28
2023-04-14,139.2
2023-04-17,140.19
2023-04-18,139
2023-04-19,138.93
2023-04-20,135.53
2023-04-21,138.5
2023-04-24,138.48
2023-04-25,130.37
2023-04-26,133.12
2023-04-27,133.25
2023-04-28,135.43
2023-05-01,136.08
2023-05-02,134.52
2023-05-03,134.77
2023-05-04,133.88
2023-05-05,133.3
2023-05-08,132.45
2023-05-09,127.35
2023-05-10,128.06
2023-05-11,127.66
2023-05-12,127.49
2023-05-15,127.99
2023-05-16,126.29
2023-05-17,127.77
2023-05-18,129.14
2023-05-19,128.87
2023-05-22,129.09
2023-05-23,128.64
2023-05-24,120.99
2023-05-25,119.49
2023-05-26,120.42
2023-05-30,117.73
2023-05-31,115.67
2023-06-01,116.26
2023-06-02,118.22
2023-06-05,118.35
2023-06-06,117.44
2023-06-07,116.59
2023-06-08,114.69
2023-06-09,115.79
2023-06-12,118.54
2023-06-13,119.5
2023-06-14,119.4
2023-06-15,121.23
2023-06-16,121.13
2023-06-20,118.16
2023-06-21,118.33
2023-06-22,118.68
2023-06-23,119.42
2023-06-26,118.37
2023-06-27,117.04
2023-06-28,116.37
2023-06-29,118.05
2023-06-30,120.25
2023-07-03,119.32
2023-07-05,119.5
2023-07-06,118.43
2023-07-07,117
2023-07-10,118.36
2023-07-11,118.48
2023-07-12,120
2023-07-13,119.35
