Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-04-19,3.599999905,3.69749999,3.5625,3.627500057,3828800,0,0
2005-04-20,3.599999905,3.644999981,3.575000048,3.609999895,2084000,0,0
2005-04-21,3.609999895,3.797499895,3.607500076,3.772500038,4069600,0,0
2005-04-22,3.772500038,3.772500038,3.607500076,3.637500048,3360000,0,0
2005-04-25,3.637500048,3.660000086,3.450000048,3.5,4261600,0,0
2005-04-26,3.5,3.607500076,3.400000095,3.597500086,3872800,0,0
2005-04-27,3.595000029,3.690000057,3.55250001,3.690000057,1897200,0,0
2005-04-28,3.690000057,3.692500114,3.602499962,3.622499943,1384000,0,0
2005-04-29,3.622499943,3.672499895,3.575000048,3.607500076,1490000,0,0
2005-05-02,3.619999886,3.619999886,3.522500038,3.577500105,1483600,0,0
2005-05-03,3.5625,3.67750001,3.532500029,3.622499943,1642000,0,0
2005-05-04,3.637500048,3.752500057,3.622499943,3.744999886,1402800,0,0
2005-05-05,3.737499952,3.775000095,3.674999952,3.752500057,2910800,0,0
2005-05-06,3.75,3.875,3.732500076,3.837500095,3101600,0,0
2005-05-09,3.787499905,3.875,3.782500029,3.859999895,3662800,0,0
2005-05-10,3.815000057,3.924999952,3.809999943,3.875,2954000,0,0
2005-05-11,3.862499952,3.917500019,3.82249999,3.82249999,2080400,0,0
2005-05-12,3.8125,3.869999886,3.734999895,3.747499943,1806000,0,0
2005-05-13,3.75,3.782500029,3.637500048,3.720000029,3694800,0,0
2005-05-16,3.717499971,3.795000076,3.694999933,3.75999999,1796400,0,0
2005-05-17,3.717499971,3.9375,3.684999943,3.914999962,3041200,0,0
2005-05-18,3.900000095,4.022500038,3.852499962,3.960000038,4379600,0,0
2005-05-19,4.324999809,4.525000095,4.3125,4.425000191,20659200,0,0
2005-05-20,4.349999905,4.644999981,4.335000038,4.622499943,10856000,0,0
2005-05-23,4.5,4.864999771,4.434999943,4.807499886,9897200,0,0
2005-05-24,4.8125,4.934999943,4.78249979,4.900000095,7348400,0,0
2005-05-25,4.974999905,5.012499809,4.875,4.965000153,7942000,0,0
2005-05-26,4.997499943,5.082499981,4.912499905,5.034999847,6382800,0,0
2005-05-27,5.050000191,5.0625,4.962500095,4.965000153,6084400,0,0
2005-05-31,4.974999905,5.082499981,4.929999828,5.059999943,6211600,0,0
2005-06-01,5.025000095,5.072500229,4.994999886,5.039999962,4614000,0,0
2005-06-02,5.037499905,5.25,5.025000095,5.239999771,5700000,0,0
2005-06-03,5.199999809,5.204999924,5.077499866,5.137499809,4089600,0,0
2005-06-06,5.147500038,5.150000095,5.027500153,5.027500153,3219600,0,0
2005-06-07,4.862500191,4.992499828,4.8125,4.9375,5886000,0,0
2005-06-08,4.962500095,4.992499828,4.932499886,4.96750021,2114000,0,0
2005-06-09,4.985000134,5.039999962,4.900000095,5.037499905,3357600,0,0
2005-06-10,5.017499924,5.019999981,4.912499905,4.934999943,1685600,0,0
2005-06-13,4.912499905,5.119999886,4.912499905,5.119999886,3239600,0,0
2005-06-14,5.119999886,5.15500021,5.03000021,5.150000095,1858800,0,0
2005-06-15,5.144999981,5.15500021,4.925000191,5.022500038,2855600,0,0
2005-06-16,5.050000191,5.054999828,4.872499943,4.957499981,2862400,0,0
