Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-18,0.364673088,0.382608561,0.353912943,0.37782532,15153600,0,0
1999-05-19,0.394565102,0.408912907,0.355108392,0.361086279,45172800,0,0
1999-05-20,0.363477599,0.363477599,0.31923861,0.332390845,17817600,0,0
1999-05-21,0.327608465,0.327608465,0.315651811,0.325217336,30350400,0,0
1999-05-24,0.327608493,0.334781933,0.319238572,0.324021786,16262400,0,0
1999-05-25,0.325217484,0.32999977,0.322826328,0.326413035,13008000,0,0
1999-05-26,0.325217336,0.341956274,0.325217336,0.325217336,10473600,0,0
1999-05-27,0.327608491,0.327608491,0.322826207,0.322826207,8232000,0,0
1999-05-28,0.327608614,0.327608614,0.322826328,0.326413035,8865600,0,0
1999-06-01,0.325217367,0.327608496,0.320434125,0.327608496,9854400,0,0
1999-06-02,0.327608427,0.327608427,0.315651774,0.315651774,13012800,0,0
1999-06-03,0.324021786,0.326412915,0.320434122,0.324021786,4156800,0,0
1999-06-04,0.326413035,0.327608614,0.324021906,0.326413035,7891200,0,0
1999-06-07,0.328206259,0.33478191,0.32760847,0.329999626,12513600,0,0
1999-06-08,0.331195237,0.34434747,0.329999659,0.338369608,15331200,0,0
1999-06-09,0.339565163,0.351521818,0.339565163,0.344347447,9518400,0,0
1999-06-10,0.344347419,0.346738575,0.341956264,0.345542997,3609600,0,0
1999-06-11,0.345543048,0.346738626,0.326412925,0.338369608,6100800,0,0
1999-06-14,0.338967357,0.339565146,0.322826181,0.325217336,5164800,0,0
1999-06-15,0.325217336,0.327608465,0.320434095,0.325217336,4929600,0,0
1999-06-16,0.329999455,0.344347257,0.325217173,0.334781736,6441600,0,0
1999-06-17,0.332390776,0.33717399,0.325217336,0.325217336,7492800,0,0
1999-06-18,0.327608391,0.327608391,0.313260585,0.313260585,15873600,0,0
1999-06-21,0.322826186,0.329999626,0.314156878,0.329999626,8347200,0,0
1999-06-22,0.329999649,0.329999649,0.316847416,0.324021786,19305600,0,0
1999-06-23,0.3204341,0.329999626,0.316847394,0.329999626,21091200,0,0
1999-06-24,0.332390803,0.332390803,0.32043412,0.322826207,11520000,0,0
1999-06-25,0.320434125,0.33119523,0.320434125,0.327608496,7353600,0,0
1999-06-28,0.338369638,0.338369638,0.325217404,0.332390845,10915200,0,0
1999-06-29,0.337173913,0.340760619,0.3323907,0.335977405,9268800,0,0
1999-06-30,0.346738418,0.365869433,0.339564982,0.365869433,26923200,0,0
1999-07-01,0.365869695,0.365869695,0.327608541,0.346738666,8899200,0,0
1999-07-02,0.351521921,0.3718476,0.344347549,0.3718476,22488000,0,0
1999-07-06,0.375434276,0.375434276,0.368260835,0.37304312,19809600,0,0
1999-07-07,0.375434023,0.375434023,0.365869433,0.365869433,6312000,0,0
1999-07-08,0.368260778,0.380217432,0.356304096,0.37423864,18604800,0,0
1999-07-09,0.373043046,0.408913035,0.373043046,0.405923188,21172800,0,0
1999-07-12,0.43043434,0.442390995,0.413695372,0.424456477,40104000,0,0
1999-07-13,0.429238673,0.431629829,0.406520918,0.425651968,13886400,0,0
1999-07-14,0.425652012,0.43521658,0.40652096,0.408913046,13795200,0,0
1999-07-15,0.412499726,0.425651985,0.411304176,0.411304176,13704000,0,0
1999-07-16,0.418477656,0.423260871,0.411304216,0.419673234,10387200,0,0
1999-07-19,0.42086877,0.422064348,0.40652096,0.408913046,4363200,0,0
1999-07-20,0.408913074,0.408913074,0.387390892,0.401738703,17875200,0,0
1999-07-21,0.396956381,0.396956381,0.37782533,0.389782012,11208000,0,0
1999-07-22,0.387390993,0.387390993,0.368260892,0.3718476,21326400,0,0
1999-07-23,0.370652022,0.382608707,0.370652022,0.3718476,8025600,0,0
1999-07-26,0.381413069,0.381413069,0.37304312,0.37304312,6052800,0,0
1999-07-27,0.373043062,0.375434218,0.368260778,0.37423864,9859200,0,0
1999-07-28,0.373043033,0.384999687,0.371847456,0.380217403,24422400,0,0
1999-07-29,0.373043095,0.38499975,0.370651939,0.383804172,38880000,0,0
1999-07-30,0.383804174,0.394565279,0.382608623,0.384999752,45230400,0,0
1999-08-02,0.384999698,0.38978201,0.38260857,0.388586432,31334400,0,0
1999-08-03,0.388586425,0.388586425,0.375434194,0.3790209,25521600,0,0
1999-08-04,0.381412986,0.382608563,0.377825322,0.3790209,8995200,0,0
1999-08-05,0.379020959,0.384999752,0.373043097,0.384999752,24057600,0,0
1999-08-06,0.383804174,0.38619533,0.382608623,0.384999752,18398400,0,0
1999-08-09,0.38619533,0.389782064,0.382608623,0.384999752,3105600,0,0
1999-08-10,0.387390769,0.408912944,0.384999614,0.392173052,21206400,0,0
1999-08-11,0.399347533,0.423260869,0.394565248,0.418477654,19771200,0,0
1999-08-12,0.420868765,0.449564385,0.418477637,0.438804239,23961600,0,0
1999-08-13,0.435216606,0.443586555,0.430434322,0.434021056,8467200,0,0
1999-08-16,0.437608677,0.437608677,0.402934264,0.417282075,22344000,0,0
1999-08-17,0.418477654,0.425652025,0.40771655,0.418477654,19353600,0,0
1999-08-18,0.413695289,0.432825408,0.405325369,0.428043097,27988800,0,0
1999-08-19,0.457934289,0.542825562,0.442390903,0.518912256,196699200,0,0
1999-08-20,0.520107885,0.523695495,0.494999875,0.514129996,35308800,0,0
1999-08-23,0.506955844,0.506955844,0.466304431,0.483043402,50798400,0,0
1999-08-24,0.475868907,0.485434406,0.4519565,0.480652094,39806400,0,0
1999-08-25,0.48184765,0.486629961,0.459129919,0.47826004,35035200,0,0
1999-08-26,0.478260089,0.485434433,0.463912278,0.471086621,27537600,0,0
1999-08-27,0.480652137,0.516521229,0.478260105,0.497391105,55238400,0,0
1999-08-30,0.505760163,0.515325663,0.474673383,0.49559775,15864000,0,0
1999-08-31,0.49739099,0.540434416,0.487825493,0.538043261,78686400,0,0
1999-09-01,0.538043209,0.538043209,0.504564408,0.512934327,56534400,0,0
1999-09-02,0.496195365,0.509347595,0.485434291,0.506955564,34108800,0,0
1999-09-03,0.516521417,0.523695764,0.506955914,0.510543525,25886400,0,0
1999-09-07,0.518912431,0.518912431,0.505760196,0.508151352,12441600,0,0
1999-09-08,0.509347595,0.512934328,0.506955564,0.506955564,17006400,0,0
1999-09-09,0.511738676,0.515325408,0.49021653,0.499782026,20947200,0,0
1999-09-10,0.508151142,0.514129906,0.504564409,0.506955564,16742400,0,0
1999-09-13,0.509347762,0.509347762,0.48543445,0.490216762,17443200,0,0
1999-09-14,0.490216629,0.490216629,0.473477666,0.475868821,25036800,0,0
1999-09-15,0.469890968,0.485434355,0.466304235,0.47945559,21273600,0,0
1999-09-16,0.473477772,0.478260084,0.461521116,0.467499882,15811200,0,0
1999-09-17,0.46450997,0.468695368,0.449564346,0.466304213,17164800,0,0
1999-09-20,0.457934376,0.463912266,0.449564427,0.449564427,22910400,0,0
1999-09-21,0.439999857,0.442390985,0.40054313,0.406520993,73732800,0,0
1999-09-22,0.406520852,0.418477531,0.382608481,0.416086376,37598400,0,0
1999-09-23,0.41728191,0.418477487,0.377825201,0.381412864,37958400,0,0
1999-09-24,0.382608664,0.392173234,0.320434169,0.346738666,68491200,0,0
1999-09-27,0.369456351,0.375434241,0.346738619,0.368260801,43200000,0,0
1999-09-28,0.368858559,0.406520988,0.368260797,0.401738703,41318400,0,0
1999-09-29,0.410108622,0.42565201,0.363477529,0.369456321,59404800,0,0
1999-09-30,0.382608612,0.394565267,0.363477559,0.368260801,34252800,0,0
1999-10-01,0.362281798,0.375434023,0.346738418,0.365869433,34776000,0,0
1999-10-04,0.377825405,0.379020983,0.368260835,0.37304312,17760000,0,0
1999-10-05,0.373043056,0.411304202,0.373043056,0.408913046,47808000,0,0
1999-10-06,0.410108635,0.478260049,0.406520971,0.45793435,150873600,0,0
1999-10-07,0.477064411,0.477064411,0.425651969,0.428043097,48729600,0,0
1999-10-08,0.428043176,0.462716688,0.411304236,0.449564427,39892800,0,0
1999-10-11,0.453152108,0.454347686,0.425652063,0.437608719,54446400,0,0
1999-10-12,0.439999753,0.444782037,0.430434229,0.431629807,32299200,0,0
1999-10-13,0.426847577,0.426847577,0.411304216,0.419673234,28036800,0,0
1999-10-14,0.420868743,0.420868743,0.406520934,0.411304176,19233600,0,0
1999-10-15,0.3909776,0.411304202,0.389782022,0.408913046,21072000,0,0
1999-10-18,0.410108704,0.410108704,0.384999785,0.387390941,21518400,0,0
1999-10-19,0.399347651,0.399347651,0.364673227,0.3718476,30892800,0,0
1999-10-20,0.377825381,0.389782064,0.371847519,0.384999752,34872000,0,0
1999-10-21,0.383804104,0.402934223,0.373043028,0.402934223,38212800,0,0
1999-10-22,0.401738621,0.424456376,0.401738621,0.412499696,28675200,0,0
1999-10-25,0.410108521,0.416086382,0.392173052,0.392173052,21384000,0,0
1999-10-26,0.408912953,0.444782004,0.406520867,0.430434197,48124800,0,0
1999-10-27,0.432825424,0.435216552,0.404129806,0.411304176,21412800,0,0
1999-10-28,0.413695226,0.420868664,0.389781924,0.392173052,22276800,0,0
1999-10-29,0.396956375,0.430434277,0.394565219,0.423260838,33052800,0,0
1999-11-01,0.416086521,0.466304297,0.416086521,0.449564427,78254400,0,0
1999-11-02,0.457934341,0.480652072,0.454347635,0.47826004,83750400,0,0
1999-11-03,0.497391036,0.538043311,0.493803427,0.524891078,201168000,0,0
1999-11-04,0.53086894,0.57271679,0.53086894,0.558368981,126033600,0,0
1999-11-05,0.573912285,0.578694596,0.514129901,0.540434361,61636800,0,0
1999-11-08,0.523695245,0.571520963,0.506955412,0.555977583,47001600,0,0
1999-11-09,0.55478212,0.557173275,0.526086509,0.54760778,27235200,0,0
1999-11-10,0.549401197,0.549998986,0.532064446,0.54282552,14404800,0,0
1999-11-11,0.542825747,0.6097825,0.53086909,0.581086874,56270400,0,0
1999-11-12,0.60619491,0.612173676,0.571521392,0.612173676,50150400,0,0
1999-11-15,0.616358042,0.634890375,0.590651367,0.600216866,36220800,0,0
1999-11-16,0.614564663,0.669564746,0.612173507,0.657608092,72379200,0,0
1999-11-17,0.669564676,0.717390411,0.659999178,0.682716906,78638400,0,0
1999-11-18,0.697064597,0.703042485,0.679129183,0.685107946,23596800,0,0
1999-11-19,0.767608303,0.848911979,0.765216271,0.820216358,216518400,0,0
1999-11-22,0.841140751,0.84173854,0.769999485,0.819020808,54019200,0,0
1999-11-23,0.735324969,0.768803773,0.726955925,0.760433853,55324800,0,0
1999-11-24,0.756847285,0.765216331,0.680325039,0.736520708,40684800,0,0
1999-11-26,0.729346817,0.736520281,0.707824674,0.731737971,7176000,0,0
1999-11-29,0.729346969,0.738912465,0.688694705,0.705433667,29860800,0,0
1999-11-30,0.707824869,0.719781521,0.662390292,0.662390292,31468800,0,0
